Date,Mean discharge (Observed),Q sat discharge
26-10-2010,440.5,621.9000244
27-10-2010,445.8999939,597.7999878
28-10-2010,459.1000061,562.7999878
29-10-2010,461.5,533.7000122
30-10-2010,447.6000061,516.7000122
31-10-2010,441.5,514.0999756
1-11-2010,418.7999878,507.7999878
2-11-2010,387.6000061,491.3999939
3-11-2010,383.7000122,475.8999939
4-11-2010,416.8999939,479
5-11-2010,425.7999878,489
6-11-2010,403.8999939,493.6000061
7-11-2010,395.3999939,487.2999878
8-11-2010,364.3999939,469.8999939
9-11-2010,323.6000061,440.2999878
10-11-2010,283.8999939,392.2000122
11-11-2010,288.7999878,345.7000122
12-11-2010,299.1000061,332.1000061
13-11-2010,299.7000122,337.7999878
14-11-2010,307.7000122,336.2999878
15-11-2010,295.5,326.7999878
16-11-2010,230.3000031,325.2999878
17-11-2010,229.6999969,319.2000122
18-11-2010,242.6000061,306.5
19-11-2010,243.6000061,286.2000122
20-11-2010,241.8000031,283.7000122
21-11-2010,235.6999969,282.6000061
22-11-2010,234.6999969,272.7000122
23-11-2010,225.8999939,255.5
24-11-2010,191,249.8999939
25-11-2010,190.1000061,241.1999969
26-11-2010,204.1000061,240.1000061
27-11-2010,202,235
28-11-2010,197.1000061,227.8000031
29-11-2010,182.8999939,223.3999939
30-11-2010,158.6000061,221.6999969
1-12-2010,143.6000061,222.3999939
2-12-2010,141.1000061,215.5
3-12-2010,163,197.6000061
4-12-2010,186.8999939,190
5-12-2010,196.8999939,192.5
6-12-2010,195.3999939,198.8000031
7-12-2010,189.6000061,201.6000061
8-12-2010,170.6999969,200.6000061
9-12-2010,161.6000061,198.8999939
10-12-2010,158.1999969,191.8000031
11-12-2010,155.6999969,181.3000031
12-12-2010,153.3000031,170.3999939
13-12-2010,166.3000031,165.1000061
14-12-2010,172.1999969,167.3000031
15-12-2010,150.8999939,167.8000031
16-12-2010,149.6000061,165.1000061
17-12-2010,181.6999969,162
18-12-2010,212.3999939,170.6000061
19-12-2010,225,193.3999939
20-12-2010,225.8999939,206.3999939
21-12-2010,231.3999939,210.8999939
22-12-2010,222.1999969,216.8999939
23-12-2010,227,216.8999939
24-12-2010,242,221.5
25-12-2010,252.8000031,233
26-12-2010,287.7000122,238.3999939
27-12-2010,311.8999939,246.8000031
28-12-2010,283.2000122,259.2000122
29-12-2010,278.7000122,256.7999878
30-12-2010,295.7000122,252.1000061
31-12-2010,298.6000061,260
1-1-2011,330.5,
2-1-2011,349,
3-1-2011,346.5,
4-1-2011,242,
5-1-2011,232.5,
6-1-2011,232,
7-1-2011,219.6999969,
8-1-2011,215.8000031,
9-1-2011,215.1999969,
10-1-2011,198.3999939,
11-1-2011,183.3000031,
12-1-2011,179.8999939,
13-1-2011,206.1999969,
14-1-2011,241.3999939,
15-1-2011,256.2000122,
16-1-2011,256.5,
17-1-2011,265.7000122,
18-1-2011,250,
19-1-2011,239.1999969,
